od	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.04	6.125	-2.933333333333337	-11.7361111111111	-6.1111111111111	-8.302600472813225	-2.4525745257452485	-7.1111111111111	-5.383838383838366	1.7777777777777928	-11.482078853046584	-3.346405228758158	0.0	-13.028758169934626	-6.869731800766274	-15.869731800766274	-14.287581699346397	-10.552971576227378	-1.8947368421052602	-7.7673611111111	-2.6111111111111	-10.05228758169934	-5.693200663349906	-8.633838383838373	0.1923076923076934	-1.759999999999998	3.282828282828298	15.8139534883721	-0.75	-3.594982078853036	-2.5	-4.555555555555543	-7.085714285714285	-4.598915989159877	-5.900000000000002	-10.9375	-4.086956521739129	-14.913308913308903	5.550000000000004	7.275862068965509	-15.277777777777764	2.1481481481481524	-11.086720867208662	-13.333333333333321	-7.371980676328491	-17.366430260047267	-11.255441008018312	-5.172413793103452	-5.628968253968246	-3.4711111111110995	-13.61880341880341	-0.8823529411764639	-15.459948320413424	-1.3742690058479425	-12.1111111111111	-10.1111111111111	-10.33062330623305	2.6774193548387117	-1.878378378378379	-11.296296296296283	1.6388888888889	57.50000000000003	65.0	-8.3	-2.640522875816984	-6.857142857142861	-11.341880341880334	-7.4861111111111	-6.153846153846153	-1.6111111111111	3.3272450532724633	-17.925925925925917	-2.7777777777777573	2.5555555555555642	53.05882352941177	-7.239999999999998	-6.680851063829792	-7.600000000000001	-9.829059829059815	-9.24137931034483	2.3888888888889	-11.1111111111111	-14.983838383838375	-4.388888888888879	-8.222222222222221	-1.0	-0.38383838383837343	13.432432432432435	3.59856630824374	3.1555555555555657	-8.763285024154577	5.0	5.945945945945944	2.8888888888889	-6.0	4.999999999999993	-6.018518518518505
0.06	9.411764705882355	29.70899254873941	-10.838235294117645	11.245098039215684	45.22994652406417	27.010227396366012	1.2450980392156836	29.823529411764703	66.3569306930693	-10.147614761476142	14.799264705882358	0.0	21.015931372549034	11.316021602160212	157.07843137254898	-14.505569306930688	-17.69306930693069	-21.719735973597352	-6.293069306930683	-3.307527138255999	-7.940491987343059	50.852385238523844	-11.693069306930688	-6.321640735502122	68.73000761614622	23.9395837542938	184.8712241653418	17.748213304013184	-7.571118087418498	26.757559098405714	-8.604834012813043	-2.2549019607843093	12.069992553983617	-7.040866873065021	-13.342333654773384	-2.3583502366463804	-10.140474100087793	-29.866538694685794	-25.233299191988166	-29.909564152291516	-17.905190519051907	-36.34524321997417	-35.60111528394218	-35.35060355350603	-19.921568627450966	-9.44395668715245	211.11017740429506	20.32085561497326	34.39422084623325	-14.22640264026402	54.41176470588234	-26.14306930693069	3.3460370063518496	-21.704305261986875	-21.678363424577746	-4.526402640264024	1.9483500717360087	24.185349611542726	9.57594381035996	9.879297173414805	18.680762468770247	-15.193069306930688	-11.218321832183214	-3.2338856334613055	-29.026402640264024	-15.921568627450966	-12.381958195819578	-12.096709870388835	58.11689291101058	21.847662141779786	43.4258492129246	3.632694938440501	-10.44888326041906	-14.507884121745505	-13.320976283674874	-9.785909712722301	-2.4783451842275426	3.411764705882355	-23.97285067873303	-21.381886087768436	-6.232542991141223	-4.281417112299472	-6.576564452561755	7.019872813990467	12.320855614973254	9.11176470588235	41.65737874097005	13.453001819284417	10.43118218161051	-1.6628621597892916	28.268907563025216	92.91668679063028	24.21773485513608	126.12721186035387	54.573926868044516	-6.1033868092691606
0.08	-1.0324675324675496	63.309404388714725	-8.943948689347465	25.090909090909093	103.62500000000003	70.3089586829696	16.074074074074076	80.0241935483871	114.79968890425162	-4.447999999999993	38.021276595744695	0.0	6.675757575757572	34.849701393497	194.4918132201334	-14.987055990367267	-27.402519167579413	-27.430069930069934	7.5758579169175135	-7.265550239234457	-8.808248043347376	96.26027397260276	-22.787147335423207	-12.040762463343128	148.1680060271221	35.75589225589225	436.47794117647067	51.54545454545456	-18.69542732716387	46.840764331210195	-19.618181818181824	1.9864864864864913	33.284768211920536	-20.863636363636374	-17.970588235294116	-4.538461538461533	-6.677852348993284	-43.72179627601315	-33.790622763063716	-39.31818181818183	-8.255681818181827	-51.912776412776424	-48.7943722943723	-47.48767334360555	-42.22727272727274	-45.59090909090909	215.05971780132074	32.80441826215019	-25.548951048951054	-13.071122994652413	31.603202456679014	-37.10151515151516	-14.33831604636974	-28.87202797202798	-32.07000663570008	14.13704206241519	-2.238095238095241	-29.281685467816864	48.352459016393425	49.21311475409837	13.282608695652186	-22.750805931657	-14.569536423841058	-10.233971291866041	-37.06818181818183	-29.948318804483193	-16.739234449760787	-16.790697674418603	42.1103896103896	53.25531914893617	95.0	-1.3999999999999986	-17.896495071193883	-18.41291866028709	-13.281437125748504	-15.07142857142857	-8.388888888888886	4.963508322663245	-28.627450980392155	-23.96330275229358	-4.664848484848491	-10.58394160583942	-15.814181818181822	32.94482758620691	13.065573770491795	11.375	74.0566037735849	7.910614525139664	7.9122807017543835	4.5625	43.43421052631578	180.7384219554031	27.28143712574851	169.1411441971594	112.92207792207793	-20.149507119386655
0.1	-6.120069415130615	-7.2293144208037745	-7.107867392380001	39.257705257705084	60.307568438003045	-7.859344450833802	-33.19903381642513	38.34104108994194	148.92821586671812	0.166067974578624	53.700390794615714	0.0	16.320686951463188	71.18484896745767	91.30501089324616	-11.842171071327073	-35.865700483091786	-33.70812472551603	14.66478080033069	-8.662525879917183	-5.659639877031182	166.6319501586929	-32.70134404744822	-14.138405329894681	250.84252462513336	39.804066958768686	736.3738601823709	64.140587126313	-27.821798044067407	55.770685579196225	-25.206876953680023	2.6426968309543213	53.92273236282196	-31.33508823819382	-24.036077705827935	-9.677382053654014	-1.5859345139508036	-55.566775751908985	-37.1863354037267	-46.06469545796617	0.39740112118627735	-64.54830917874396	-56.582773653823494	-61.10570048309179	-54.485088238193825	-58.60056286841289	301.84858523119397	-17.405485429328337	-27.81742462102281	-11.151710845786084	-53.402064119455424	-50.27531586770718	-24.348118065509368	-37.82015592863634	-41.87057853187227	31.815107597716292	-9.462443752163495	-34.91686327378946	79.90023836850006	56.978624338624286	20.184998196898675	-29.40654555351432	-18.80279112331273	-13.129700483091781	-44.06128059358902	-40.993449174191255	-24.657004830917884	-19.692120447169117	59.56448819615349	100.8595744680851	138.43785501107158	-8.256215005599103	-22.733442418575663	-23.057004830917876	-18.54042553191489	-16.88191024807209	-11.345164868407778	-4.3619309082589695	-34.044336146440024	-30.447295760922522	0.9815522641609675	-45.04497976237107	-20.760437325197046	50.1793113101904	13.810328236929337	8.206241134751792	108.31976864284238	10.96761018237082	7.55243161094225	16.65040015615851	61.00672472715246	165.7423510466988	34.555407801418454	77.3656016531553	93.97579966329954	-29.104724873335684
0.12	-3.585274900398389	-4.157514569482046	-7.133734586024644	16.215815668202765	-31.42876672200009	-7.541170483460547	-36.325052631578956	58.194039215686246	154.74203626759427	-1.112835341365468	65.78204790734404	0.0	33.683755102040834	101.57875862068965	-0.6170382743846403	-5.067636363636353	-37.81675167785235	-30.567551401869167	31.416463320463322	-2.3827644787644715	-0.15399999999999636	204.1164081632653	-42.383289940828405	-20.845153971592637	359.80595670995666	49.72390697674419	1031.8854961832062	80.80954681611752	-30.332070175438588	64.58549618320609	-33.727529411764706	1.1596897315932182	65.64433862693602	-36.894131578947366	-34.40984060435864	-16.132619758822855	-48.47198690797086	-60.22867532467532	-32.949871559633024	-49.266595419847334	10.305125475285166	-74.404	-61.23733333333334	-68.47353642384105	-58.3903813229572	-66.28760655737705	424.100081632653	-16.304000000000002	-25.533213483146056	-2.9082016806722777	-58.76114285714286	-55.903999999999996	-25.91571875000001	-36.966499999999996	-43.259311355311354	51.643169811320746	-58.208526748971195	-38.35854545454545	105.93943809191981	46.700746640119405	35.972452704945255	-26.724000000000004	-42.77458823529412	-13.36800000000001	-48.83948387096774	-44.350351931330465	-20.45603619909501	-24.059419071031158	75.05418815331012	137.55128455284552	166.642639040349	-10.134503816793867	-19.489139318885464	-20.95442016806723	-16.277065393148547	-20.09508634106571	-15.846646673936732	-5.16645186874193	-42.00383188003498	-39.2977099236641	6.85736363636363	-55.78119298245615	-18.380190476190464	54.258162162162165	3.499462943071876	7.7660931981315	144.17961383026494	9.234417046515489	6.635496183206129	26.316688843756594	61.7575969581749	102.92051557465061	44.111773555468915	2.1976269577596668	23.75675039246471	-33.767813229571985
0.14	0.6472141280353298	-4.894708642796431	-7.088416836299146	28.94200938967137	-45.60491743119266	-3.46302405498281	-38.44163440860214	75.74333824733824	185.980412470024	0.2215351681957145	73.28080108162922	0.0	53.49600000000001	137.31428316610928	-12.55094835680751	-2.119384615384604	-35.935767337807604	-31.36184313725491	46.097990049751274	2.985583333333352	5.080830339321352	224.66606802721097	-50.82817195207893	-30.313220133414177	436.3124794007492	67.62206060606061	1266.8410179397679	107.93179688165637	-32.35312280701753	73.3916652105539	-39.30253479853479	-4.851441873723218	71.99262439089074	-43.34500877192981	-59.277700305810384	-24.954760581928923	-67.90351865222623	-61.343190628328	-23.7832494481236	-48.92257506361322	23.29924737344794	-78.2877837837838	-65.66213424345848	-78.1441766004415	-62.314635538261996	-75.40673224043717	550.9531723426214	-16.921260490894696	-18.833588014981274	8.836400471142554	-63.80870347648262	-54.97066666666666	-29.956380952380954	-38.48316666666666	-47.4087619047619	68.35763522012581	-64.32036726546906	-42.182294573643404	127.98857014791577	17.367306852903084	50.50637227047656	-19.289185185185175	-42.32542857142856	-5.834900243308994	-52.8792093802345	-47.8569411764706	-15.10772960372961	-31.073460355157323	81.26835772357725	175.5915109837632	184.4103092783505	-14.17635738831612	-15.120919957529864	-13.825688500727779	-15.034772688862574	-25.878040236212584	-17.36469072164948	-5.603614772282384	-50.706671853724956	-46.642514641915255	10.99600000000001	-63.182362573099425	-16.878149659863936	63.73576608187133	-37.33354545454546	6.025460793502035	175.1370122756257	7.844841652451251	5.419400187441454	29.133085079062283	74.98517748917749	107.78423475258933	52.12897594501723	-33.22832708528583	-15.97066666666666	-33.80101686121918
0.16	5.629450387728582	-3.942517222846533	-0.41269249556521004	40.989205989206	-50.24456990512033	5.347972508591056	-36.604025365315664	94.25210525210528	201.1720300579361	1.239375049008089	81.0972621260774	0.0	69.95726495726498	176.57375241246214	-9.704706873720937	1.1212740688822862	-34.26786593278737	-31.23417081099697	57.58413062890676	9.551014957264982	11.286934895102092	248.14117300324202	-56.283749841889346	-31.60726558664703	509.25326495726506	97.68906572354857	1484.4546391752576	138.9101596799896	-34.76388888888886	85.26480866678315	-41.33943833943829	-3.485145770978818	85.19275576718599	-46.54517406712526	-62.69411118952401	-26.830390764862017	-68.81479386626442	-64.15775101717591	-20.125516499688644	-49.80354195916152	29.922881003110263	-82.54723954723951	-69.13053992078379	-84.60245401229005	-65.23435180920208	-80.17566555633019	679.5919398798658	-15.74107233489653	-13.434780497280457	18.112741989067104	-69.02433013475955	-54.20552574040943	-32.72224822731917	-39.42484886387322	-50.064902530419744	84.47512210012215	-69.21638773734578	-43.356688531107096	-49.742265559166924	29.899810366624024	66.42978710425183	-14.357989280023133	-39.308041165183994	3.7291947818263793	-57.69097624876517	-49.04273504273502	-8.203574203574163	-30.887245641496193	89.23477691898748	217.1213099010852	-75.85086145357023	-13.098108077489513	-9.700842552317013	-1.3965811965811668	-8.969123200979922	-25.314726251438117	-14.125063795039296	0.26223411196659185	-49.354794787006426	-46.61808809746954	-43.899613024155755	-68.24122750504658	-16.409641517555173	73.49032280850466	-31.57951978387942	9.321305841924385	-56.855021732154825	-18.415148835838437	10.624336144954697	-0.9598334883308723	110.88614275520999	212.90544946436876	66.40663917525774	-34.288542642924085	-17.842735042735	-37.05326135852451
0.18	9.754335095798496	-5.383430759052999	1.6849409656636567	52.375417375417385	-52.588724065861214	6.472329478859592	-4.865079365079509	114.1550021017234	246.99895006057346	4.942207532051299	88.90193945305174	0.0	88.73488147073053	217.37882547559965	-3.5534578563299135	4.758133286607091	-30.142032487582213	-29.29225602273462	71.90367290367291	18.715040972772954	10.703527767142418	273.9927950837042	-58.542473030845116	-32.65220858470286	581.9780512820513	139.35496794871793	1692.8611579574306	166.8686049789082	-34.01602564102561	96.22250362984511	-44.11273829710703	-3.8830655413662782	97.98897907666418	-46.56185115697309	-62.96473535033945	-86.1976994967649	-71.21549773755655	-64.67175934150526	-14.178905896790013	-48.21570656548235	40.253882267966816	-84.65726270211758	-72.07404627892431	-87.9732180387918	-66.18136335209505	-81.16205747927802	809.0666666666666	-11.586420671527037	-6.192490469476212	29.7820512820513	-72.74717627535998	-53.927251043530106	-33.821396993810794	-37.77677224736047	-50.43962359479599	102.94276556776552	-72.74681469733014	-45.21270762780196	-53.4839061647572	-79.86080586080585	79.41440428960232	-3.6264232942199044	-32.57509157509156	14.52936311000829	-59.11491184159294	-49.91945530928581	-2.717948717948701	-33.637304441227286	99.96147711937184	260.9741861135119	-80.04526248770038	-40.53922531369338	-7.643221497557306	3.3897435897436026	0.94560119627522	-25.80362427331768	-12.626180981942582	1.8297385461804367	-50.037740461332675	-48.56818654613538	-45.796392357918904	-71.36367736116479	-15.696365984135781	77.5837041746133	-14.386087768440575	-3.129713423831049	-55.305827505827466	-9.633333333333326	14.91849848600421	7.126610867543519	105.50682192425316	1.4021047095297945	-18.34767844767842	-36.18016158408443	246.33320634920574	-38.09689608636978
