od	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.02	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
0.04	108.44444444444446	101.77777777777779	101.83636363636363	100.18181818181819	100.34375	89.3529411764706	97.26315789473685	91.00000000000003	nan	88.0	86.58620689655172	nan	98.20000000000002	99.05882352941177	96.0	102.0	97.0	105.08000000000001	89.0	102.64705882352943	100.0	100.81818181818181	112.23809523809524	85.29629629629629	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	104.0	98.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	88.0	nan	nan	nan	nan	nan	nan	82.0	nan	nan	97.53846153846153	97.0	117.0	nan	84.99999999999997	nan	nan	nan	78.66666666666666	72.50000000000001	nan	nan	nan	nan	nan	nan	nan	nan	77.33333333333331	nan	nan	nan	99.23076923076924	101.0	nan	94.51428571428572	88.16129032258064	97.0	92.17241379310343	87.6842105263158	79.0	nan	nan	79.5
0.06	173.13513513513513	146.89719626168227	153.99999999999997	135.75	106.50666666666666	103.74683544303797	119.25000000000001	98.80000000000001	108.16417910447761	97.94444444444444	96.58333333333333	nan	136.46153846153845	109.2125	119.390625	246.3064516129032	115.29166666666666	108.14864864864866	151.34246575342468	140.94805194805193	86.54545454545456	184.77611940298507	264.70588235294116	94.05882352941175	134.29906542056074	236.22535211267603	510.6249999999999	129.6029411764706	91.67692307692307	114.77272727272727	47.04301075268817	175.7142857142857	220.0	91.40425531914894	103.10666666666665	209.44262295081964	179.60465116279067	69.0701754385965	158.875	150.39999999999998	128.6764705882353	79.8974358974359	124.17391304347827	129.0909090909091	99.359375	111.3235294117647	111.4090909090909	107.5072463768116	107.59322033898306	118.74999999999999	114.15384615384616	119.42857142857143	95.28571428571428	106.8923076923077	85.45588235294119	84.0	133.10526315789474	131.8235294117647	112.40579710144928	104.63157894736841	120.09629629629629	74.78947368421053	112.8080808080808	121.3913043478261	483.2061855670102	107.46575342465754	103.55789473684212	112.27499999999999	101.0	159.9753086419753	110.49411764705883	92.2923076923077	102.82926829268293	108.15789473684211	99.55555555555554	70.84705882352942	90.5	99.49295774647888	87.45652173913044	132.5263157894737	129.29032258064515	260.94736842105266	95.94736842105263	91.9090909090909	111.53571428571429	108.26168224299066	100.56	115.5142857142857	115.02816901408451	81.63513513513514	99.11538461538461	110.54545454545453	96.80000000000001	94.0	143.04999999999998	108.17808219178082
0.08	173.5785123966942	130.7520661157025	121.22302158273381	100.82014388489208	109.13636363636365	100.25	136.24427480916032	110.73394495412845	122.68032786885246	106.29752066115704	100.09933774834437	nan	143.2173913043478	110.83870967741936	122.39655172413792	331.40579710144925	117.96610169491525	109.11363636363637	181.8954248366013	196.02272727272728	80.43410852713177	257.7281553398058	427.9756097560977	96.8698224852071	149.5483870967742	356.64516129032256	868.3125	148.40151515151516	82.52631578947368	123.9090909090909	54.40350877192982	226.89208633093529	314.0	91.16346153846155	124.38732394366195	298.6808510638298	226.72580645161293	58.056000000000004	204.78813559322035	181.0	139.47169811320754	77.17857142857143	137.0095238095238	144.66187050359713	107.13793103448276	122.66019417475728	123.03174603174604	123.18181818181819	89.08620689655172	144.25471698113208	120.51327433628319	149.81889763779526	98.6086956521739	112.40869565217392	80.11206896551724	93.20645161290324	156.26771653543307	172.47422680412373	127.23529411764706	114.47560975609755	120.32173913043479	64.27067669172932	112.19827586206897	135.28571428571428	917.6101694915255	113.7578125	101.44144144144144	117.13043478260872	100.7536231884058	253.9496855345912	122.0	103.85454545454544	102.82644628099175	112.05785123966943	112.171875	65.75757575757575	170.57575757575756	109.4	88.33333333333334	167.83582089552237	177.14843750000003	394.3868613138686	123.33333333333334	106.80281690140845	108.51162790697673	100.6875	123.45871559633028	134.0241935483871	133.37962962962965	82.83464566929135	113.5	137.08474576271186	116.02830188679246	108.375	201.8256880733945	141.07142857142858
0.1	221.8387096774194	168.93333333333334	151.13235294117646	119.1985294117647	137.7734375	120.77464788732394	170.66037735849056	137.48214285714286	146.27659574468086	122.61971830985915	114.50264550264552	nan	170.76106194690266	137.11711711711712	158.66371681415933	437.87704918032796	137.11320754716982	129.33986928104576	235.7716535433071	267.41803278688525	92.78106508875742	328.7818181818182	602.3539325842697	102.84180790960451	210.03305785123968	505.0808080808081	1266.7520661157027	187.43076923076924	96.18012422360249	156.8695652173913	66.65333333333334	267.51020408163265	409.28915662650604	97.34158415841584	143.62025316455697	366.45	322.5483870967742	68.73170731707317	270.46456692913387	239.63636363636368	171.97058823529414	87.35714285714286	171.55882352941177	174.4009900990099	123.40106951871658	137.98545454545456	141.0	139.00294117647059	114.375	176.78846153846155	149.8828125	183.7841726618705	115.42168674698797	132.23318385650225	91.07692307692308	97.99019607843137	189.59030837004406	213.59459459459464	145.85067873303169	130.4982698961938	165.81021897810223	77.82993197278911	132.6748466257669	163.78947368421052	1332.3448275862072	130.70526315789473	116.06770833333333	136.77639751552795	117.03664921465969	339.3529411764706	136.68580060422963	114.33582089552239	125.78947368421053	137.71134020618555	143.02325581395348	81.03424657534248	232.09722222222226	132.21875	106.9493670886076	225.00000000000003	237.14743589743594	529.0791366906475	151.40828402366864	131.36065573770492	132.13793103448276	122.91176470588235	151.0849056603774	164.3170731707317	170.9805194805195	102.40650406504066	132.55555555555557	180.3202614379085	137.37155963302752	134.8	281.47619047619054	193.69565217391306
0.12	273.3529411764706	202.6927374301676	183.0	134.2638036809816	158.55405405405406	133.88888888888889	194.28571428571428	158.94936708860757	165.9741697416974	133.06666666666666	122.81918819188192	nan	190.98473282442748	157.41772151898735	194.22641509433961	530.7307692307693	157.00735294117646	139.31578947368422	274.93385214007776	305.9509803921569	106.60220994475138	383.0914634146342	738.8707865168539	112.44632768361582	267.97435897435895	616.9625	1680.0975609756097	226.1833333333333	110.15652173913043	173.80666666666667	76.8	304.98013245033115	477.289592760181	106.93827160493828	164.42214532871972	430.0214285714286	428.0574712643678	81.20289855072464	325.45614035087715	286.9618320610687	198.77011494252872	102.9004739336493	191.0990099009901	195.3562753036437	143.7766990291262	153.25818181818184	156.33333333333331	151.35588235294117	137.97142857142856	194.17241379310343	182.67605633802816	220.97826086956522	136.05479452054794	154.65470852017938	101.11013215859032	109.91764705882353	218.17808219178082	262.24363636363637	166.52988047808765	144.33910034602076	224.19875776397512	91.57446808510637	154.1848739495798	180.90865384615387	1761.8857142857141	146.1286307053942	129.38076923076923	156.0	129.59073359073358	404.05882352941177	155.41691842900303	127.76865671641791	146.82962962962964	158.9261744966443	184.3048780487805	93.31666666666666	295.5027624309392	149.3375796178344	122.84549356223175	282.26027397260276	295.2857142857143	680.2356687898089	170.75	146.81749049429658	152.45454545454544	146.40112994350284	170.40506329113924	186.59550561797752	196.82008368200837	117.5	144.71028037383178	215.4812030075188	149.2373417721519	149.90443686006827	341.7649572649573	233.72874493927125
0.14	320.5207100591716	229.00000000000006	199.0337552742616	144.91304347826087	172.08374384236456	143.43798449612405	208.57142857142858	171.63309352517987	174.09225092250924	141.95555555555555	130.3269230769231	nan	210.8586956521739	167.25581395348837	213.12962962962965	597.6666666666667	166.56617647058823	147.78486055776892	306.0622568093385	337.3851590106007	117.48648648648648	438.33333333333337	914.1458333333335	122.58823529411765	314.8553191489362	698.7606837606838	1938.6341463414635	251.30357142857144	120.31683168316833	188.4393063583815	89.32558139534885	337.43046357615896	541.6575342465753	116.97156398104265	186.56747404844293	493.4107744107745	515.6979166666667	92.02857142857144	372.43157894736845	327.8	212.98913043478262	116.2127659574468	208.15789473684214	213.10285714285715	160.93814432989694	171.2837837837838	172.92857142857144	167.54448398576514	153.13157894736844	209.46153846153845	202.41317365269464	249.6583850931677	149.79005524861878	171.3304721030043	111.86864406779662	127.20338983050848	241.8	310.9709090909091	185.6533864541833	157.33742331288346	271.04807692307696	104.00000000000001	169.48809523809524	195.84745762711867	2161.0693877551025	158.28979591836736	137.84230769230768	171.81355932203388	138.0462962962963	487.0689655172415	173.3921568627451	137.35504885993487	157.45945945945948	169.38834951456312	212.74299065420564	103.86363636363637	356.7142857142858	156.69767441860466	134.4925925925926	326.0	344.98501872659176	809.0851063829787	186.71803278688526	158.1144578313253	169.9009900990099	161.92696629213484	190.72222222222223	202.33333333333337	214.5977011494253	128.434628975265	155.47252747252747	241.27667984189725	158.73101265822785	158.77815699658703	396.84967320261444	264.0563798219585
0.16	359.54491017964074	252.33333333333331	224.10169491525426	156.89690721649484	188.83251231527095	152.82222222222225	223.9864864864865	182.82352941176472	188.7039711191336	151.760162601626	141.925	nan	225.0	176.11650485436894	238.71140939597313	672.7386934673368	179.18421052631578	156.44680851063828	343.65876777251185	375.86387434554973	128.7025641025641	505.85972850678735	1118.4	133.08695652173913	348.85238095238094	774.4285714285713	2231.560209424084	280.9251336898396	133.10309278350516	209.71428571428572	99.45614035087719	387.21153846153845	624.6531791907515	127.94581280788177	220.17857142857144	560.390756302521	593.9492385786803	103.25	420.0	365.1030927835052	231.1764705882353	128.46745562130178	231.2941176470588	238.41916167664672	180.48427672955975	189.0967741935484	190.4957264957265	185.60311284046693	167.61139896373055	225.12663755458516	227.98342541436466	281.42384105960264	164.30769230769232	189.87373737373738	123.93650793650795	147.89115646258506	281.8	374.5183246073298	203.14285714285714	171.02298850574712	311.1184834123223	117.23958333333334	182.09392265193372	208.97379912663754	2592.226190476191	169.095	146.20833333333334	187.20618556701032	150.12499999999997	586.1296296296297	190.38562091503272	146.03389830508473	164.9071729957806	179.15483870967742	237.609756097561	113.76315789473685	435.1296296296297	163.288	144.12222222222223	366.0	389.40495867768595	902.0328638497654	201.18320610687024	168.95783132530119	178.32110091743118	171.5673076923077	204.89189189189187	220.0655737704918	232.98850574712642	138.32862190812722	166.431906614786	269.7351778656126	167.8279569892473	167.0968858131488	445.21568627450984	291.35608308605345
0.18	409.0958904109589	275.6111111111111	245.82741116751268	167.92473118279568	206.9277777777778	163.53333333333336	241.74208144796378	195.39999999999998	204.99170124481327	163.99009900990097	158.8059701492537	nan	261.0	190.7317073170732	265.01886792452825	742.913043478261	190.9626168224299	165.70588235294116	380.89690721649487	419.55729166666663	140.10869565217394	577.9708737864077	1378.7961783439487	143.95652173913044	389.7900552486187	857.2650602409639	2550.0	313.25824175824175	145.32804232804233	226.75912408759123	115.73387096774194	435.3960396039604	693.0699999999999	140.54437869822485	262.0	643.5840336134454	679.3298429319372	115.66666666666667	480.1643835616438	413.79999999999995	256.22222222222223	142.66438356164383	252.10743801652893	261.83544303797464	202.06521739130434	208.38461538461536	210.37241379310342	204.36702127659575	183.98039215686276	241.80748663101605	246.3719512195122	314.265306122449	179.55555555555554	210.3005464480874	137.46835443037975	172.31404958677686	329.56613756613757	459.13207547169804	225.3191489361702	187.11494252873564	345.47136563876654	126.56521739130434	196.9290780141844	222.4189944134078	3076.9095022624433	184.1384615384615	156.71014492753622	204.76300578034682	162.86363636363637	710.3	212.60891089108907	159.59322033898303	175.85436893203882	194.73509933774832	267.27950310559004	125.8	538.7857142857142	172.57142857142856	155.37864077669903	416.4438502673797	440.64462809917353	991.4615384615386	219.50381679389312	184.0040650406504	188.96756756756756	184.93229166666666	217.61146496815286	239.56050955414014	255.7433628318584	147.95238095238096	177.29850746268656	295.76833976833973	176.71038251366122	178.38308457711443	499.61199999999997	332.17647058823525
