,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,12025.0,12776.0,13579.0,13020.0,12360.0,16780.0,13145.0,12755.0,13511.0,41177.0,18964.0,11689.0,10661.0,10327.0,9768.0,9732.0,10356.0,11074.0,16005.0,12840.0,10570.0,17591.0,19353.0,9999.0,11582.0,12356.0,18183.0,11766.0,11567.0,14224.0,12464.0,12641.0,40460.0,10299.0,10292.0,14884.0,18630.0,12512.0,12237.0,17688.0,10160.0,9940.0,10064.0,9237.0,9141.0,9341.0,9047.0,9374.0,977.0,957.0,987.0,976.0,965.0,957.0,971.0,938.0,930.0,891.0,936.0,927.0,980.0,963.0,981.0,981.0,949.0,950.0,935.0,930.0,978.0,928.0,882.0,891.0,961.0,968.0,963.0,948.0,1025.0,941.0,934.0,968.0,1003.0,923.0,942.0,890.0,942.0,983.0,1001.0,978.0,951.0,974.0,1058.0,971.0,921.0,982.0,970.0,918.0
1,12874.0,14062.0,16130.0,13461.0,12847.0,16730.0,12910.0,12624.0,14500.0,57932.0,20847.0,12133.0,10815.0,10919.0,10466.0,9948.0,10544.0,11680.0,21845.0,14406.0,11194.0,24237.0,26054.0,9575.0,13330.0,12881.0,23687.0,12300.0,11772.0,14084.0,13373.0,14375.0,54251.0,9924.0,10069.0,14435.0,22060.0,13044.0,15335.0,18986.0,10645.0,10415.0,10533.0,9042.0,8808.0,9124.0,8929.0,9108.0,977.0,959.0,964.0,963.0,966.0,975.0,978.0,942.0,923.0,890.0,931.0,949.0,950.0,950.0,985.0,968.0,948.0,951.0,912.0,918.0,978.0,932.0,890.0,888.0,969.0,952.0,953.0,944.0,1046.0,949.0,918.0,964.0,1006.0,936.0,983.0,910.0,971.0,985.0,995.0,993.0,978.0,1019.0,1070.0,963.0,912.0,1014.0,977.0,943.0
2,12871.0,13936.0,18534.0,13689.0,12853.0,17433.0,12706.0,12130.0,14648.0,-1.0,24914.0,12619.0,10948.0,11460.0,10602.0,10437.0,10905.0,13543.0,29636.0,15282.0,12127.0,29547.0,31943.0,9595.0,13990.0,13423.0,30444.0,12113.0,13121.0,15341.0,15009.0,16076.0,-1.0,9701.0,9739.0,14909.0,25068.0,14031.0,18655.0,20799.0,11745.0,11285.0,11967.0,8925.0,8751.0,8849.0,8740.0,9052.0,992.0,955.0,976.0,976.0,980.0,981.0,973.0,950.0,945.0,910.0,928.0,947.0,982.0,951.0,996.0,982.0,956.0,961.0,943.0,928.0,981.0,948.0,901.0,919.0,983.0,964.0,957.0,963.0,1048.0,938.0,915.0,962.0,994.0,933.0,997.0,924.0,974.0,991.0,980.0,974.0,962.0,1034.0,1069.0,995.0,925.0,989.0,969.0,932.0
3,13499.0,14502.0,20272.0,14146.0,13172.0,18130.0,12808.0,12472.0,15519.0,-1.0,27872.0,11890.0,10797.0,11698.0,10813.0,10678.0,11177.0,15247.0,35499.0,16531.0,12419.0,33432.0,35589.0,9574.0,14640.0,13883.0,35168.0,12308.0,13025.0,15730.0,14984.0,17447.0,-1.0,9507.0,9890.0,14955.0,28526.0,15044.0,21096.0,23211.0,12165.0,11580.0,13979.0,9020.0,8710.0,8974.0,8844.0,9033.0,985.0,955.0,973.0,964.0,981.0,972.0,980.0,919.0,914.0,892.0,925.0,939.0,974.0,956.0,982.0,956.0,952.0,942.0,929.0,930.0,960.0,933.0,881.0,889.0,976.0,955.0,963.0,957.0,1052.0,937.0,914.0,950.0,990.0,940.0,991.0,933.0,963.0,988.0,990.0,989.0,983.0,1055.0,1055.0,983.0,930.0,988.0,970.0,949.0
4,13821.0,15017.0,21895.0,14673.0,13696.0,19308.0,13193.0,12737.0,16289.0,-1.0,32194.0,12223.0,11175.0,12136.0,11556.0,10832.0,11545.0,17098.0,38793.0,16770.0,12797.0,37133.0,40826.0,9454.0,15327.0,14471.0,39962.0,12481.0,13351.0,16804.0,16472.0,19856.0,-1.0,9692.0,9821.0,14273.0,30222.0,15345.0,22281.0,23686.0,12275.0,11466.0,14673.0,9007.0,8756.0,8950.0,8714.0,8947.0,999.0,979.0,976.0,980.0,965.0,971.0,975.0,934.0,918.0,896.0,916.0,946.0,983.0,966.0,994.0,980.0,958.0,956.0,931.0,925.0,975.0,940.0,887.0,890.0,973.0,976.0,957.0,960.0,1042.0,947.0,938.0,973.0,1015.0,924.0,985.0,933.0,1000.0,984.0,996.0,992.0,968.0,1059.0,1068.0,999.0,932.0,986.0,970.0,950.0
5,13731.0,14970.0,22641.0,14560.0,13501.0,19607.0,12878.0,12352.0,16536.0,-1.0,33385.0,11814.0,10714.0,12077.0,11930.0,11007.0,11422.0,18875.0,41165.0,17139.0,13214.0,39196.0,41650.0,9424.0,14703.0,13819.0,41606.0,12061.0,12878.0,16805.0,16573.0,20635.0,-1.0,9698.0,9987.0,13821.0,29841.0,14681.0,21894.0,23926.0,12163.0,11392.0,14891.0,8849.0,8635.0,8842.0,8713.0,8888.0,996.0,968.0,986.0,980.0,975.0,975.0,967.0,930.0,927.0,899.0,934.0,944.0,982.0,974.0,987.0,972.0,953.0,954.0,937.0,917.0,967.0,933.0,888.0,894.0,969.0,972.0,967.0,968.0,1054.0,957.0,914.0,970.0,1011.0,917.0,980.0,934.0,985.0,988.0,999.0,1007.0,986.0,1069.0,1065.0,993.0,947.0,996.0,979.0,962.0
6,13280.0,14466.0,22246.0,14320.0,13154.0,19426.0,12432.0,11938.0,16286.0,-1.0,34183.0,11708.0,10264.0,11883.0,11659.0,10891.0,11438.0,20358.0,41320.0,16301.0,12519.0,37426.0,41807.0,9522.0,14540.0,14083.0,45094.0,12307.0,13398.0,17273.0,16662.0,20358.0,-1.0,9646.0,10312.0,13283.0,31382.0,15446.0,22851.0,24795.0,12181.0,11561.0,15869.0,8947.0,8701.0,8888.0,8662.0,8877.0,1008.0,960.0,1001.0,999.0,973.0,993.0,975.0,951.0,926.0,912.0,945.0,961.0,987.0,960.0,986.0,969.0,953.0,960.0,960.0,933.0,976.0,943.0,886.0,898.0,974.0,985.0,969.0,967.0,1044.0,955.0,938.0,969.0,1013.0,938.0,985.0,946.0,991.0,998.0,1013.0,1009.0,983.0,1068.0,1067.0,994.0,936.0,991.0,984.0,967.0
7,13865.0,14885.0,23377.0,14642.0,13176.0,20062.0,12319.0,11874.0,16494.0,-1.0,34043.0,10928.0,10449.0,12355.0,11763.0,10743.0,11122.0,20704.0,39587.0,16123.0,12905.0,39292.0,42641.0,9704.0,15115.0,14732.0,46417.0,12029.0,12938.0,17237.0,16590.0,20552.0,-1.0,9615.0,11559.0,13077.0,32548.0,15410.0,22846.0,25602.0,12316.0,11575.0,15371.0,8884.0,8638.0,8765.0,8585.0,8718.0,1013.0,991.0,1014.0,1004.0,984.0,996.0,992.0,954.0,949.0,934.0,961.0,967.0,999.0,989.0,1013.0,1000.0,993.0,976.0,961.0,946.0,998.0,956.0,901.0,928.0,984.0,986.0,966.0,988.0,1076.0,987.0,941.0,987.0,1019.0,960.0,1023.0,986.0,1007.0,1017.0,1018.0,1009.0,1005.0,1089.0,1086.0,1021.0,961.0,1027.0,1001.0,971.0
8,14110.0,14853.0,23480.0,14730.0,13407.0,20802.0,12651.0,12037.0,17078.0,-1.0,36005.0,11370.0,10635.0,12621.0,11894.0,10714.0,11491.0,23185.0,42799.0,16920.0,13357.0,40823.0,44352.0,10934.0,15193.0,14920.0,46929.0,11829.0,13229.0,17921.0,17317.0,20797.0,-1.0,9669.0,14010.0,12937.0,34446.0,15784.0,23745.0,26300.0,12301.0,11548.0,15870.0,8969.0,8619.0,8872.0,8593.0,8862.0,1005.0,994.0,989.0,1003.0,982.0,984.0,984.0,955.0,932.0,913.0,960.0,978.0,1001.0,971.0,1019.0,1002.0,987.0,964.0,962.0,952.0,996.0,962.0,925.0,920.0,998.0,982.0,970.0,982.0,1055.0,980.0,966.0,989.0,1017.0,950.0,1018.0,967.0,1009.0,1027.0,1025.0,1023.0,993.0,1086.0,1092.0,1000.0,963.0,1024.0,996.0,980.0
9,14142.0,15045.0,24262.0,14700.0,13064.0,20840.0,12576.0,12097.0,17545.0,-1.0,35875.0,11121.0,10682.0,12988.0,12094.0,11054.0,11486.0,24262.0,42333.0,16956.0,13550.0,40969.0,44269.0,12651.0,15191.0,15058.0,48093.0,11692.0,13062.0,17698.0,16804.0,21006.0,-1.0,9542.0,16456.0,12461.0,34889.0,15861.0,23785.0,26686.0,12335.0,11180.0,15348.0,8899.0,8554.0,8737.0,8506.0,8755.0,1012.0,975.0,1009.0,1013.0,999.0,1005.0,1008.0,970.0,950.0,939.0,954.0,975.0,1013.0,982.0,1013.0,1008.0,992.0,985.0,980.0,946.0,1002.0,978.0,915.0,937.0,995.0,1009.0,999.0,986.0,1075.0,988.0,973.0,1008.0,1040.0,967.0,1022.0,979.0,1033.0,1036.0,1041.0,1031.0,1015.0,1104.0,1101.0,1017.0,962.0,1035.0,1002.0,990.0
